level,page,text
1,1,Selamat datang di Dapur Desa Rempah! Musuh pertama mulai memasuki jalur base pertahanan Pasang tower di area platform untuk melindungi  Recipe milik Chef Juno. Gunakan coin untuk membeli tower pertamamu!
1,2,Enemies Appearing In This Level!
1,3,Towers Available For This Level!
1,4,INTRUKSI
2,1,Serangan semakin intens! Musuh baru muncul dengan HP lebih tinggi dan sulit dikalahkan. Tower Pertahananmu harus mulai diperkuat!
2,2,New Enemies Appearing In This Level!
2,3,New Towers Available For This Level!
2,4,INTRUKSI
3,1,Wave musuh datang lebih cepat dan lebih banyak dari sebelumnya! Perkuat pertahananmu dan pasang tower baru dengan strategi terbaik!
3,2,Enemies Appearing In This Level!
3,3,New Towers Available For This Level!
3,4,INTRUKSI 
4,1,Mini Boss pertama muncul! Chef Amber dapat melakukan counter-attack saat terkena serangan.
4,2,New Mini Boss!
4,3,New Towers Available For This Level!
4,4,INTRUKSI
5,1,Chef Basilisk datang untuk mencuri resep rahasia Dapur Nusantara! Ia memperkuat pasukannya sehingga jauh lebih sulit dikalahkan. Gunakan semua tower yang telah tersedia untuk mempertahankan dapur Juno!
5,2,New Rival Boss!
5,3,All Towers Available For This Level!
5,4,INTRUKSI 
